"","Group.1","score","facility_a","facility_c","facility_i","facility_n","pe_descrip","coords.x1","coords.x2"
"15028","FA0176655",91.4,"550 DEEP VALLEY DR STE 151","ROLLING HILLS ESTATES","FA0176655","GOOD STUFF","RESTAURANT (61-150) SEATS HIGH RISK",-118.374651,33.772619
"15029","FA0174885",91,"4538 E CESAR E CHAVEZ AVE","LOS ANGELES","FA0174885","LA AZTECA TORTILLERIA & RESTAURANT","RESTAURANT (0-30) SEATS HIGH RISK",-118.167981,34.040592
"15030","FA0156587",97.6666666666667,"26767 AGOURA RD","CALABASAS","FA0156587","EREWHON ORGANIC GROCER & CAFE - PIZZA","RESTAURANT (0-30) SEATS MODERATE RISK",-118.707175,34.139934
"15031","FA0027701",96,"3116 W 182ND ST","TORRANCE","FA0027701","HI-N-DRY COCKTAILS","RESTAURANT (0-30) SEATS LOW RISK",-118.327218,33.86558
"15032","FA0247940",90.75,"5526 DEL AMO BLVD","LAKEWOOD","FA0247940","GENKIYAKI","RESTAURANT (31-60) SEATS HIGH RISK",-118.123681,33.846869
"15033","FA0011937",92.5714285714286,"326 S BEVERLY DR","BEVERLY HILLS","FA0011937","CAFE ISTANBUL","RESTAURANT (31-60) SEATS HIGH RISK",-118.399098,34.061198
"15034","FA0069638",95,"15280 ANTIOCH ST","PACIFIC PALISADES","FA0069638","ROBEKS JUICE","RESTAURANT (0-30) SEATS MODERATE RISK",-118.52559,34.046863
"15035","FA0007677",93.75,"2980 E WORKMAN AVE","WEST COVINA","FA0007677","CARL'S JR","RESTAURANT (61-150) SEATS MODERATE RISK",-117.881728,34.075276
"15036","FA0040258",95.75,"8520 VAN NUYS BLVD","PANORAMA CITY","FA0040258","METRO ESTACION BALDERAS INC","RESTAURANT (31-60) SEATS HIGH RISK",-118.44887,34.225395
"15037","FA0008162",92.7142857142857,"606 SANTA MONICA BLVD","SANTA MONICA","FA0008162","BANGKOK WEST","RESTAURANT (31-60) SEATS HIGH RISK",-118.493017,34.018161
"15038","FA0257549",95.1428571428571,"6817 BALBOA BLVD","VAN NUYS","FA0257549","GUIDO'S PIZZA & PASTA","RESTAURANT (0-30) SEATS MODERATE RISK",-118.501345,34.19488
"15039","FA0007399",96.2,"20855 VENTURA BLVD STE 9","WOODLAND HILLS","FA0007399","ART'S SUBS","RESTAURANT (0-30) SEATS MODERATE RISK",-118.587772,34.166358
"15040","FA0240884",94.1666666666667,"6215 TOPANGA CANYON BLVD","LOS ANGELES","FA0240884","WH POKE BAR INC.","RESTAURANT (0-30) SEATS HIGH RISK",-118.605967,34.183213
"15041","FA0174149",94.4,"620 S UNION AVE","LOS ANGELES","FA0174149","CJ SPA RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.269509,34.056362
"15042","FA0069489",91.5714285714286,"1905 8TH AVE","LOS ANGELES","FA0069489","RESTAURANTE CENTROAMERICANO2","RESTAURANT (31-60) SEATS HIGH RISK",-118.32602,34.039303
"15043","FA0068546",94.5,"4402 VINELAND AVE","NORTH HOLLYWOOD","FA0068546","PERFECT DONUTS","RESTAURANT (0-30) SEATS MODERATE RISK",-118.370229,34.150556
"15044","FA0064453",97.7142857142857,"3831 BEVERLY BLVD","LOS ANGELES","FA0064453","JOLLIBEE BEVERLY BLVD","RESTAURANT (61-150) SEATS HIGH RISK",-118.292915,34.07631
"15045","FA0248824",94,"1301 MONTANA AVE","SANTA MONICA","FA0248824","LE MACARON","RESTAURANT (0-30) SEATS MODERATE RISK",-118.495943,34.031584
