"","Group.1","score","facility_a","facility_c","facility_i","facility_n","pe_descrip","coords.x1","coords.x2"
"1","FA0047730",95.6666666666667,"2999 W 6TH ST BM","LOS ANGELES","FA0047730","SHRINE","RESTAURANT (61-150) SEATS HIGH RISK",-118.286712,34.0637
"2","FA0241951",91.2857142857143,"11270 LA GRANGE AVE","LOS ANGELES","FA0241951","ANZU","RESTAURANT (0-30) SEATS HIGH RISK",-118.443282,34.041222
"3","FA0262425",95.2,"369 E 2ND ST","LOS ANGELES","FA0262425","BAE","RESTAURANT (0-30) SEATS MODERATE RISK",-118.239993,34.048156
"4","FA0250553",93.4285714285714,"3131 N GAREY","POMONA","FA0250553","ICUSINE","RESTAURANT (31-60) SEATS HIGH RISK",-117.748657,34.104317
"5","FA0177224",90.4444444444444,"403 W 12TH ST","LOS ANGELES","FA0177224","BARCITO","RESTAURANT (61-150) SEATS HIGH RISK",-118.263657,34.040362
"6","FA0071140",97.8,"9673 WILSHIRE BLVD","BEVERLY HILLS","FA0071140","SUBWAY","RESTAURANT (0-30) SEATS MODERATE RISK",-118.40494,34.067065
"7","FA0251577",95.4,"8636 IMPERIAL HWY","DOWNEY","FA0251577","DONAS","RESTAURANT (0-30) SEATS MODERATE RISK",-118.141243,33.918352
"8","FA0074209",93.125,"904 W ALAMEDA AVE","BURBANK","FA0074209","YAKI'S","RESTAURANT (0-30) SEATS HIGH RISK",-118.312517,34.163442
"9","FA0020196",91.1666666666667,"14314 E TELEGRAPH RD","WHITTIER","FA0020196","KK DONUT","RESTAURANT (0-30) SEATS MODERATE RISK",-118.026502,33.926352
"10","FA0039929",98.7142857142857,"18761 SHERMAN WAY","RESEDA","FA0039929","MCDONALD'S # 38","RESTAURANT (61-150) SEATS MODERATE RISK",-118.542176,34.201168
"11","FA0243774",90.875,"7255 RESEDA BLVD","RESEDA","FA0243774","PHO 999","RESTAURANT (61-150) SEATS HIGH RISK",-118.536059,34.202735
"12","FA0010184",93,"2550 E AMAR RD STE #A7","WEST COVINA","FA0010184","COZY THAI","RESTAURANT (0-30) SEATS HIGH RISK",-117.896446,34.027351
"13","FA0035215",94.125,"11138 VENTURA BLVD","STUDIO CITY","FA0035215","LAL MIRCH","RESTAURANT (61-150) SEATS HIGH RISK",-118.373322,34.14165
"14","FA0259340",93.8333333333333,"2221 W REDONDO BEACH BLVD","GARDENA","FA0259340","WING FERNO","RESTAURANT (31-60) SEATS HIGH RISK",-118.318611,33.88545
"15","FA0019772",91.6,"12908 SHERMAN WAY","NORTH HOLLYWOOD","FA0019772","DREAM BAKERY","RESTAURANT (0-30) SEATS MODERATE RISK",-118.414652,34.201203
"16","FA0224407",96.3333333333333,"6600 E OLYMPIC BLVD STE 106","LOS ANGELES","FA0224407","YUM YUM DONUTS #63-B","RESTAURANT (0-30) SEATS MODERATE RISK",-118.130557,34.011427
"17","FA0067495",92,"13015 E PHILADELPHIA ST","WHITTIER","FA0067495","NEW CANTON RESTAURANT","RESTAURANT (61-150) SEATS HIGH RISK",-118.036583,33.979097
"18","FA0240743",97.3333333333333,"1601 E 103RD ST","LOS ANGELES","FA0240743","LITTLE CAESARS PIZZA #5763","RESTAURANT (0-30) SEATS MODERATE RISK",-118.245443,33.943209
"19","FA0042077",97,"16 N 1ST AVE","ARCADIA","FA0042077","N16 CELLAR","RESTAURANT (0-30) SEATS LOW RISK",-118.028358,34.140527
"20","FA0048937",93.625,"14752 W BADILLO ST","BALDWIN PARK","FA0048937","STARS BURGERS","RESTAURANT (31-60) SEATS HIGH RISK",-117.954072,34.087439
"21","FA0249103",94.2857142857143,"928 S WESTERN AVE # 139","LOS ANGELES","FA0249103","BAB HANKKI ONE BITE","RESTAURANT (0-30) SEATS HIGH RISK",-118.309061,34.055135
"22","FA0224020",97,"9911 E GARVEY AVE","EL MONTE","FA0224020","DAIKOKUYA","RESTAURANT (61-150) SEATS HIGH RISK",-118.052442,34.062721
"23","FA0137725",93.8571428571429,"400 S BALDWIN AVE #2015","ARCADIA","FA0137725","HAIDILAO HOTPOT","RESTAURANT (151 + ) SEATS HIGH RISK",-118.05425,34.1341
"24","FA0006427",94.6372093023256,"1111 S FIGUEROA ST","LOS ANGELES","FA0006427","STAPLES CENTER (LEVY)","RESTAURANT (0-30) SEATS MODERATE RISK",-118.265586,34.043271
"25","FA0027610",92.2,"11047 HAWTHORNE BLVD # #3","INGLEWOOD","FA0027610","PANAMERICANA BAKERY","RESTAURANT (0-30) SEATS MODERATE RISK",-118.352703,33.935004
"26","FA0166702",91.3333333333333,"1620 W REDONDO BEACH BLVD STE 122","GARDENA","FA0166702","MAMMOTH BAKERY","RESTAURANT (0-30) SEATS MODERATE RISK",-118.305396,33.88973
"27","FA0062666",93.6666666666667,"8728 FOOTHILL BLVD","SUNLAND","FA0062666","GIAMELA'S","RESTAURANT (0-30) SEATS HIGH RISK",-118.323851,34.260482
"28","FA0138169",91.25,"380 WORLD WAY T30","LOS ANGELES","FA0138169","UMAMI BURGER","RESTAURANT (31-60) SEATS HIGH RISK",-118.40816,33.943626
"29","FA0029799",95.1875,"17840 VENTURA BLVD","ENCINO","FA0029799","RALPHS MARKET #6","RESTAURANT (0-30) SEATS MODERATE RISK",-118.520887,34.16311
"30","FA0040369",90.3333333333333,"4356 FOUNTAIN AVE","LOS ANGELES","FA0040369","WAT DONG MOON LEK NOODLE","RESTAURANT (0-30) SEATS HIGH RISK",-118.284987,34.095794
"31","FA0044188",94.4285714285714,"24250 VALENCIA BLVD","VALENCIA","FA0044188","PEI WEI FRESH KITCHEN","RESTAURANT (61-150) SEATS HIGH RISK",-118.558126,34.413081
"32","FA0044774",97.2,"3255 TWEEDY BLVD","SOUTH GATE","FA0044774","SOUTHERN CALIFORNIA PIZZA CO LLC","RESTAURANT (0-30) SEATS MODERATE RISK",-118.21323,33.945045
"33","FA0247853",86.1111111111111,"22746 ROSCOE BLVD","WEST HILLS","FA0247853","TAWAKALHALAL TANDORI RESTAURANT","RESTAURANT (61-150) SEATS HIGH RISK",-118.622618,34.219424
"34","FA0073534",93.5714285714286,"11930 SAN VICENTE BLVD","LOS ANGELES","FA0073534","VINCENTI","RESTAURANT (61-150) SEATS HIGH RISK",-118.471221,34.052406
"35","FA0158871",91,"8117 W SUNSET BLVD","LOS ANGELES","FA0158871","HYDE BASEMENT KITCHEN & COCKTAIL","RESTAURANT (151 + ) SEATS HIGH RISK",-118.366001,34.097991
"36","FA0046552",99,"5550 PEARBLOSSOM HWY","PALMDALE","FA0046552","RUSTY DOG SALOON","RESTAURANT (0-30) SEATS LOW RISK",-118.03138,34.54272
"37","FA0171783",96.2,"5608 LAUREL CANYON BLVD","NORTH HOLLYWOOD","FA0171783","PAPA JOHN'S","RESTAURANT (0-30) SEATS MODERATE RISK",-118.39651,34.172512
"38","FA0140953",92,"3684 ROSEMEAD BLVD","ROSEMEAD","FA0140953","NEW FLAVOR OF INDIA","RESTAURANT (31-60) SEATS HIGH RISK",-118.072993,34.075322
"39","FA0151380",96.7777777777778,"900 W OLYMPIC BLVD","LOS ANGELES","FA0151380","JW MARRIOTT LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK",-118.266736,34.045816
"40","FA0015596",97.1428571428571,"6814 HOLLYWOOD BLVD","LOS ANGELES","FA0015596","GRECO'S NEW YORK PIZZA","RESTAURANT (0-30) SEATS HIGH RISK",-118.339255,34.101539
"41","FA0143115",96.2857142857143,"500 S BUENA VISTA ST","BURBANK","FA0143115","WALT DISNEY STUDIO COMMISSARY #25474","RESTAURANT (61-150) SEATS HIGH RISK",-118.327456,34.156888
"42","FA0039720",94.2857142857143,"10727 GARVEY AVE","EL MONTE","FA0039720","VIET HUONG RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.040527,34.062847
"43","FA0039008",95.5,"15418 LASSEN ST","MISSION HILLS","FA0039008","MESTIZO RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.468436,34.250042
"44","FA0018428",96.3333333333333,"3830 SIERRA HWY","ACTON","FA0018428","JACK IN THE BOX # 3304","RESTAURANT (31-60) SEATS MODERATE RISK",-118.199383,34.492854
"45","FA0252482",90.8,"1010 GLENDON AVE","LOS ANGELES","FA0252482","MINISTRY OF COFFEE","RESTAURANT (0-30) SEATS HIGH RISK",-118.444052,34.062344
"46","FA0141953",95.75,"9630 NORWALK BLVD","SANTA FE SPRINGS","FA0141953","ARAMARK AT MC MASTER CARR","RESTAURANT (61-150) SEATS HIGH RISK",-118.07234,33.952579
"47","FA0149258",91.5,"11032 DOWNEY AVE","DOWNEY","FA0149258","JOSEPH'S BAR AND GRILL","RESTAURANT (61-150) SEATS HIGH RISK",-118.132226,33.941269
"48","FA0251189",93.375,"1500 CANADA BLVD STE B","GLENDALE","FA0251189","THE GREAT WHITE HUT","RESTAURANT (0-30) SEATS HIGH RISK",-118.229142,34.16887
"49","FA0010742",93.2222222222222,"7028 BRIGHT AVE","WHITTIER","FA0010742","BRICKHOUSE PIZZA","RESTAURANT (61-150) SEATS HIGH RISK",-118.036167,33.978229
"50","FA0073650",96.0666666666667,"3027 RANCHO VISTA BLVD","PALMDALE","FA0073650","VONS MARKET 3017","RESTAURANT (0-30) SEATS LOW RISK",-118.184663,34.601947
"51","FA0172155",92.7142857142857,"23000 PACIFIC COAST HWY BLDG A","MALIBU","FA0172155","MALIBU FARM RESTAURANT ON THE PIER","RESTAURANT (61-150) SEATS HIGH RISK",-118.676062,34.037826
"52","FA0241579",90.125,"600 WORLD WAY","LOS ANGELES","FA0241579","THE KITCHEN COUNTER","RESTAURANT (0-30) SEATS HIGH RISK",-118.402526,33.942937
"53","FA0249398",95.5,"13075 VICTORY BLVD STE 101","NORTH HOLLYWOOD","FA0249398","BLAZE PIZZA #1235","RESTAURANT (61-150) SEATS HIGH RISK",-118.41717,34.186697
"54","FA0256873",90.5555555555556,"11913 HAWTHORNE BLVD","HAWTHORNE","FA0256873","CHINESE KITCHEN","RESTAURANT (0-30) SEATS HIGH RISK",-118.35272,33.925284
"55","FA0225581",85.8333333333333,"20700 AVALON BLVD UNIT 140","CARSON","FA0225581","WETZEL'S PRETZELS CARSON","RESTAURANT (0-30) SEATS MODERATE RISK",-118.263081,33.843486
"56","FA0150765",92.4146341463415,"100 TERRANEA WAY","RANCHO PALOS VERDES","FA0150765","TERRANEA","RESTAURANT (31-60) SEATS MODERATE RISK",-118.397316,33.741702
"57","FA0033351",92.25,"1139 GLENDON AVE","LOS ANGELES","FA0033351","SKYLIGHT GARDENS","RESTAURANT (151 + ) SEATS HIGH RISK",-118.443791,34.060204
"58","FA0069486",92.2857142857143,"10915 SAN FERNANDO RD","PACOIMA","FA0069486","RESTAURANT MARIA","RESTAURANT (0-30) SEATS HIGH RISK",-118.424803,34.268654
"59","FA0073893",96.8333333333333,"20516 DEVONSHIRE ST","CHATSWORTH","FA0073893","WESTERN BAGEL","RESTAURANT (0-30) SEATS MODERATE RISK",-118.580478,34.257253
"60","FA0071031",97,"1045 N GAREY AVE","POMONA","FA0071031","STATER BROS #19","RESTAURANT (0-30) SEATS MODERATE RISK",-117.752048,34.068335
"61","FA0245593",92.75,"525 S FLOWER ST","LOS ANGELES","FA0245593","NICE COFFEE","RESTAURANT (0-30) SEATS MODERATE RISK",-118.256431,34.051202
"62","FA0010971",94.3333333333333,"3540 PECK RD","EL MONTE","FA0010971","DENNY'S #6988","RESTAURANT (151 + ) SEATS HIGH RISK",-118.02468,34.072087
"63","FA0062884",92.7,"10648 BALBOA BLVD","GRANADA HILLS","FA0062884","GOOD PHO YOU","RESTAURANT (31-60) SEATS HIGH RISK",-118.502279,34.263615
"64","FA0159647",89.6666666666667,"969 E HOLT AVE","POMONA","FA0159647","TWEEDY PANDA DONUT AND CHINESE FOOD","RESTAURANT (0-30) SEATS HIGH RISK",-117.731253,34.062856
"65","FA0244565",91.4,"2223 S ATLANTIC BLVD","MONTEREY PARK","FA0244565","PIZZA TIME","RESTAURANT (0-30) SEATS MODERATE RISK",-118.14557,34.038043
"66","FA0174623",92.25,"4611 ROSEMEAD BLVD","PICO RIVERA","FA0174623","TACOS Y MARISCOS MARIA'S","RESTAURANT (0-30) SEATS HIGH RISK",-118.081897,34.007721
"67","FA0175742",93.75,"13521 FRANCISQUITO AVE","BALDWIN PARK","FA0175742","REDTOP KITCHEN","RESTAURANT (0-30) SEATS HIGH RISK",-117.978993,34.072169
"68","FA0160355",91.3333333333333,"1718 S CATALINA AVE","REDONDO BEACH","FA0160355","LOCALE 90","RESTAURANT (31-60) SEATS HIGH RISK",-118.387881,33.817675
"69","FA0049260",96.1666666666667,"5123 W EL SEGUNDO BLVD","HAWTHORNE","FA0049260","SUBWAY #43222","RESTAURANT (0-30) SEATS MODERATE RISK",-118.367726,33.916392
"70","FA0178974",97.0714285714286,"27330 TOURNEY RD","VALENCIA","FA0178974","VALENCIA COUNTRY CLUB","RESTAURANT (61-150) SEATS HIGH RISK",-118.578819,34.419331
"71","FA0240171",91.4285714285714,"4136 N PECK RD","EL MONTE","FA0240171","MARISCOS EL PERIHUETE NO. 5","RESTAURANT (61-150) SEATS HIGH RISK",-118.02,34.079567
"72","FA0240470",96,"401 S SAN FERNANDO BLVD","BURBANK","FA0240470","HILTON GARDEN INN","RESTAURANT (61-150) SEATS HIGH RISK",-118.305515,34.178536
"73","FA0058022",94.375,"6020 RESEDA BLVD","TARZANA","FA0058022","BARIN RESTAURANT","RESTAURANT (61-150) SEATS HIGH RISK",-118.536015,34.179396
"74","FA0022061",95.375,"15232 VICTORY BLVD","VAN NUYS","FA0022061","LIDO PIZZA","RESTAURANT (61-150) SEATS HIGH RISK",-118.465345,34.186655
"75","FA0240438",93.3333333333333,"100 E MAIN ST # 150","ALHAMBRA","FA0240438","WINGSTOP","RESTAURANT (0-30) SEATS MODERATE RISK",-118.12576,34.095635
"76","FA0032785",95,"272 E SEPULVEDA BLVD","CARSON","FA0032785","L&L HAWAIIAN BBQ","RESTAURANT (61-150) SEATS HIGH RISK",-118.271374,33.808003
"77","FA0065880",92.7142857142857,"419 S MYRTLE AVE","MONROVIA","FA0065880","LONDON GASTROPUB","RESTAURANT (31-60) SEATS HIGH RISK",-118.000963,34.147404
"78","FA0159164",88.5,"500 N ATLANTIC BLVD STE 200","MONTEREY PARK","FA0159164","ATLANTIC SEAFOOD RESTAURANT","RESTAURANT (151 + ) SEATS HIGH RISK",-118.134348,34.068274
"79","FA0005934",94,"1430 MOUNTAIN AVE # 103","DUARTE","FA0005934","B-MAN'S TERIYAKI & BURGERS","RESTAURANT (31-60) SEATS HIGH RISK",-117.986332,34.137107
"80","FA0141725",97.4285714285714,"1040 N LAS PALMAS AVE","LOS ANGELES","FA0141725","BABLU CAFE","RESTAURANT (0-30) SEATS LOW RISK",-118.336289,34.090161
"81","FA0034206",95.3333333333333,"100 WASHINGTON BLVD","MARINA DEL REY","FA0034206","STARBUCKS COFFEE #5275","RESTAURANT (0-30) SEATS LOW RISK",-118.465578,33.979791
"82","FA0071479",95.6666666666667,"11202 S CRENSHAW BLVD","INGLEWOOD","FA0071479","SUPERIOR SUPER WAREHOUSE","RESTAURANT (0-30) SEATS MODERATE RISK",-118.326438,33.93241
"83","FA0071007",96,"68 RIO RANCHO RD # #101","POMONA","FA0071007","STARBUCKS COFFEE #10112","RESTAURANT (31-60) SEATS LOW RISK",-117.76098,34.02847
"84","FA0138978",98,"600 W HUNTINGTON DR","MONROVIA","FA0138978","PANERA BREAD #1722","RESTAURANT (61-150) SEATS HIGH RISK",-118.012292,34.140228
"85","FA0141574",96.6666666666667,"3630 E COLORADO BLVD","PASADENA","FA0141574","CYNTHIA BROOKS DISTINCTIVE C","RESTAURANT (0-30) SEATS HIGH RISK",-118.075419,34.146271
"86","FA0008734",94,"19071 GOLDEN VALLEY RD","CANYON COUNTRY","FA0008734","CHILI'S GRILL & BAR #1250","RESTAURANT (61-150) SEATS HIGH RISK",-118.462183,34.394066
"87","FA0252215",91.2857142857143,"1324 W AVENUE I","LANCASTER","FA0252215","DON GUS MEXICAN RESTAURANT","RESTAURANT (61-150) SEATS HIGH RISK",-118.154467,34.703965
"88","FA0171275",96.8333333333333,"24525 LYONS AVE","NEWHALL","FA0171275","WENDY'S #9060","RESTAURANT (61-150) SEATS MODERATE RISK",-118.563172,34.378382
"89","FA0024478",95.1666666666667,"1057 W ARROW HWY","SAN DIMAS","FA0024478","FS MEXICCAN FOOD","RESTAURANT (0-30) SEATS HIGH RISK",-117.828134,34.106743
"90","FA0062817",98,"417 W 8TH ST","LOS ANGELES","FA0062817","GOLDEN GOPHER","RESTAURANT (61-150) SEATS LOW RISK",-118.256121,34.04468
"91","FA0054446",96.5882352941177,"7311 N FIGUEROA ST","LOS ANGELES","FA0054446","VONS MARKET #2655","RESTAURANT (0-30) SEATS LOW RISK",-118.188332,34.136095
"92","FA0050334",92,"2801 FIRESTONE BLVD","SOUTH GATE","FA0050334","TACOS EL UNICO","RESTAURANT (31-60) SEATS HIGH RISK",-118.221414,33.955745
"93","FA0175547",93.5,"701 W CESAR E CHAVEZ AVE","LOS ANGELES","FA0175547","PAPA JOHN'S PIZZA","RESTAURANT (0-30) SEATS MODERATE RISK",-118.244366,34.06105
"94","FA0057740",92.625,"12224 VENTURA BLVD","STUDIO CITY","FA0057740","ART'S DELICATESSEN","RESTAURANT (61-150) SEATS HIGH RISK",-118.399447,34.143201
"95","FA0163754",93.25,"3456 MARTIN LUTHER KING JR BLVD","LYNWOOD","FA0163754","EL POLLO HABANERO","RESTAURANT (0-30) SEATS HIGH RISK",-118.20926,33.936417
"96","FA0008279",96.6,"6250 HOLLYWOOD BLVD","LOS ANGELES","FA0008279","BANQUET KITCHEN (2ND FLOOR)","RESTAURANT (151 + ) SEATS HIGH RISK",-118.325893,34.101623
"97","FA0023322",98.3333333333333,"4400 E SLAUSON AVE","MAYWOOD","FA0023322","FOOD 4 LESS #341","RESTAURANT (0-30) SEATS MODERATE RISK",-118.186956,33.987293
"98","FA0040639",95.2,"21749 VENTURA BLVD","WOODLAND HILLS","FA0040639","WESTERN BAGEL TOO","RESTAURANT (0-30) SEATS MODERATE RISK",-118.602067,34.168371
"99","FA0018385",90.7142857142857,"1138 W AVENUE I","LANCASTER","FA0018385","DEL TACO # 309","RESTAURANT (31-60) SEATS MODERATE RISK",-118.150942,34.703977
"100","FA0244570",93.5555555555556,"4356 SLAUSON AVE","MAYWOOD","FA0244570","TAQUERIA LA FOGATA 2","RESTAURANT (0-30) SEATS HIGH RISK",-118.188038,33.987403
"101","FA0012497",96.7142857142857,"408 E WASHINGTON BLVD","LOS ANGELES","FA0012497","EL POLLO LOCO #5349","RESTAURANT (61-150) SEATS HIGH RISK",-118.261321,34.029437
"102","FA0159351",92.5,"3515 WILSHIRE BLVD","LOS ANGELES","FA0159351","THE LINE HOTEL","RESTAURANT (151 + ) SEATS HIGH RISK",-118.301076,34.061743
"103","FA0238944",90.1111111111111,"6042 SANTA FE AVE","HUNTINGTON PARK","FA0238944","TORTAS AHOGADAS GUADALAJARA","RESTAURANT (61-150) SEATS HIGH RISK",-118.230273,33.986389
"104","FA0054445",96.625,"1430 S FAIRFAX AVE","LOS ANGELES","FA0054445","VONS MARKET #2268","RESTAURANT (0-30) SEATS HIGH RISK",-118.366731,34.050565
"105","FA0241695",92.8,"585 GLENOAKS BLVD","SAN FERNANDO","FA0241695","SNACK BAR AT SWAP MEET","RESTAURANT (31-60) SEATS HIGH RISK",-118.425718,34.286933
"106","FA0071011",97,"6290 W HOLLYWOOD BLVD","LOS ANGELES","FA0071011","STARBUCKS COFFEE #16980","RESTAURANT (31-60) SEATS LOW RISK",-118.327041,34.101616
"107","FA0060195",97,"912 S BARRINGTON AVE","LOS ANGELES","FA0060195","COMPARTES CHOCOLATIER","RESTAURANT (0-30) SEATS MODERATE RISK",-118.464868,34.052985
"108","FA0176190",96.8333333333333,"18900 SOLEDAD CANYON RD","CANYON COUNTRY","FA0176190","WIENERSCHNITZEL #338","RESTAURANT (31-60) SEATS MODERATE RISK",-118.464941,34.41573
"109","FA0014594",93.3333333333333,"475 W HOLT AVE","POMONA","FA0014594","CHINA EXPRESS","RESTAURANT (0-30) SEATS HIGH RISK",-117.755961,34.062234
"110","FA0172185",88,"1019 MANHATTAN BEACH BLVD","MANHATTAN BEACH","FA0172185","MANHATTAN HOUSE","RESTAURANT (61-150) SEATS HIGH RISK",-118.397086,33.887421
"111","FA0008783",93.3333333333333,"2811 S FIGUEROA ST","LOS ANGELES","FA0008783","CHINA TOWN EXPRESS","RESTAURANT (0-30) SEATS HIGH RISK",-118.277356,34.026052
"112","FA0053899",94.125,"10968 VENTURA BLVD","STUDIO CITY","FA0053899","VIVIAN'S","RESTAURANT (31-60) SEATS HIGH RISK",-118.369534,34.140202
"113","FA0203195",97.6666666666667,"3470 WILSHIRE BLVD # B-1","LOS ANGELES","FA0203195","THE VENUE","RESTAURANT (61-150) SEATS HIGH RISK",-118.299908,34.061751
"114","FA0241086",95.2,"11706 SAN VICENTE BLVD","LOS ANGELES","FA0241086","YOGURTLAND","RESTAURANT (0-30) SEATS MODERATE RISK",-118.46589,34.053468
"115","FA0252481",94.6153846153846,"1101 W HUNTINGTON DR","ARCADIA","FA0252481","H MART","RESTAURANT (31-60) SEATS HIGH RISK",-118.066277,34.130995
"116","FA0014752",91.7142857142857,"4931 CANDLEWOOD ST","LAKEWOOD","FA0014752","CHILI'S GRILL & BAR #252","RESTAURANT (151 + ) SEATS HIGH RISK",-118.13558,33.853817
"117","FA0177936",94.7777777777778,"18697 DEVONSHIRE ST","NORTHRIDGE","FA0177936","ALL AMERICAN BBQ","RESTAURANT (31-60) SEATS HIGH RISK",-118.540404,34.257287
"118","FA0072472",94.75,"1727 N VERMONT AVE STE 102","LOS ANGELES","FA0072472","THE SIDEWALK GRILL","RESTAURANT (0-30) SEATS HIGH RISK",-118.291775,34.102304
"119","FA0251389",97.1666666666667,"6344 TOPANGA CANYON BLVD # 1075","WOODLAND HILLS","FA0251389","AFTERS ICE CREAM","RESTAURANT (0-30) SEATS MODERATE RISK",-118.605827,34.185637
"120","FA0011139",90.6,"9367 TELEGRAPH RD","PICO RIVERA","FA0011139","DINO'S CHICKEN & BURGERS","RESTAURANT (31-60) SEATS HIGH RISK",-118.102918,33.956032
"121","FA0224699",95,"6411 SEPULVEDA BLVD","VAN NUYS","FA0224699","OH OH SUSHI & TERIYAKI","RESTAURANT (0-30) SEATS HIGH RISK",-118.466171,34.187057
"122","FA0179107",94.2,"1590 ROSECRANS AVE STE P","MANHATTAN BEACH","FA0179107","JAMBA JUICE #006","RESTAURANT (0-30) SEATS MODERATE RISK",-118.384675,33.901825
"123","FA0138331",95.6666666666667,"10155 RIVERSIDE DR","TOLUCA LAKE","FA0138331","KABOSU","RESTAURANT (31-60) SEATS HIGH RISK",-118.35231,34.152206
"124","FA0136921",92.2,"1616 ABBOT KINNEY BLVD","VENICE","FA0136921","YOURS TRULY","RESTAURANT (31-60) SEATS HIGH RISK",-118.463529,33.989774
"125","FA0070129",90.875,"700 E ALOSTA AVE","AZUSA","FA0070129","CASTANEDA'S MEXICAN FOOD","RESTAURANT (31-60) SEATS HIGH RISK",-117.895699,34.131758
"126","FA0021528",86.875,"2513 E FLORENCE AVE","HUNTINGTON PARK","FA0021528","LAS MANOS TORTILLERIA Y TAMA","RESTAURANT (31-60) SEATS HIGH RISK",-118.227265,33.974429
"127","FA0064848",99.3333333333333,"5729 ATLANTIC BLVD","MAYWOOD","FA0064848","KING TACO #112","RESTAURANT (61-150) SEATS HIGH RISK",-118.185401,33.988306
"128","FA0256902",91.75,"160 W FOOTHILL BLVD","CLAREMONT","FA0256902","THE MEAT CELLAR","RESTAURANT (61-150) SEATS HIGH RISK",-117.716347,34.106989
"129","FA0060751",92.2857142857143,"5936 W SUNSET BLVD","LOS ANGELES","FA0060751","DELANCEY","RESTAURANT (61-150) SEATS HIGH RISK",-118.319257,34.098043
"130","FA0172182",87.8571428571429,"15460 S WESTERN AVE # 101","GARDENA","FA0172182","THE CRAB SHACK","RESTAURANT (61-150) SEATS HIGH RISK",-118.309148,33.890403
"131","FA0071133",94.1428571428571,"4562 S CENTINELA AVE","LOS ANGELES","FA0071133","SUBMARINER","RESTAURANT (31-60) SEATS HIGH RISK",-118.421796,33.991705
"132","FA0245316",97.3333333333333,"16127 WESTERN AVE","GARDENA","FA0245316","EDIBLE ARRANGEMENTS","RESTAURANT (0-30) SEATS LOW RISK",-118.309155,33.884188
"133","FA0035480",92.875,"10953 VENICE BLVD","LOS ANGELES","FA0035480","SUPER PHO & TERIYAKI","RESTAURANT (0-30) SEATS HIGH RISK",-118.413239,34.015251
"134","FA0203201",92,"7095 HOLLYWOOD BLVD # 106","LOS ANGELES","FA0203201","CANTALOOP","RESTAURANT (0-30) SEATS MODERATE RISK",-118.345014,34.101586
"135","FA0160384",93.6,"1006 SEWARD ST","LOS ANGELES","FA0160384","RAO'S HOLLYWOOD","RESTAURANT (61-150) SEATS HIGH RISK",-118.333171,34.089165
"136","FA0060582",95,"11810 CENTRALIA ST","LAKEWOOD","FA0060582","DAE BAK KOREAN RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.081256,33.838706
"137","FA0024901",95.6666666666667,"2959 HONOLULU AVE","LA CRESCENTA","FA0024901","GILLIGANS","RESTAURANT (31-60) SEATS LOW RISK",-118.243678,34.213737
"138","FA0136684",95,"8480 BEVERLY BLVD","LOS ANGELES","FA0136684","TARGET #2775","RESTAURANT (0-30) SEATS MODERATE RISK",-118.375535,34.076041
"139","FA0017833",96.3333333333333,"3506 N ROSEMEAD BLVD","ROSEMEAD","FA0017833","I HOP #790","RESTAURANT (151 + ) SEATS HIGH RISK",-118.072957,34.07412
"140","FA0241333",92.75,"909 W MANCHESTER BLVD","INGLEWOOD","FA0241333","CAFE CANCUN","RESTAURANT (31-60) SEATS HIGH RISK",-118.372155,33.960919
"141","FA0173824",94.875,"2561 W OLYMPIC BLVD","LOS ANGELES","FA0173824","YANGMANI","RESTAURANT (31-60) SEATS HIGH RISK",-118.286707,34.052402
"142","FA0060274",96.2857142857143,"4776 COMMONS WAY","CALABASAS","FA0060274","CORNER BAKERY CAFE #128","RESTAURANT (61-150) SEATS HIGH RISK",-118.644877,34.154316
"143","FA0239116",93.5714285714286,"7353 W SUNSET BLVD","LOS ANGELES","FA0239116","BIG MAMA'S & PAPA' PIZZERIA","RESTAURANT (0-30) SEATS HIGH RISK",-118.350391,34.098008
"144","FA0245296",90.4285714285714,"20423 AVALON BLVD","CARSON","FA0245296","JACK IN THE BOX #180","RESTAURANT (61-150) SEATS MODERATE RISK",-118.264607,33.845856
"145","FA0068252",97.25,"500 LAKEWOOD CENTER MALL # #131","LAKEWOOD","FA0068252","PANDA EXPRESS #2109","RESTAURANT (0-30) SEATS HIGH RISK",-118.137292,33.852374
"146","FA0020964",94.125,"9040 WOODMAN AVE","PACOIMA","FA0020964","EL PAPATURRO PLACE","RESTAURANT (0-30) SEATS HIGH RISK",-118.439531,34.234135
"147","FA0071774",91.375,"13060 GLENOAKS BLVD STE #106","SYLMAR","FA0071774","TACOS LOS TORITOS","RESTAURANT (0-30) SEATS HIGH RISK",-118.449962,34.307809
"148","FA0250735",91.4444444444444,"10315 ZELZAH AVE","NORTHRIDGE","FA0250735","NOAH'S ARK CUISINE, INC","RESTAURANT (61-150) SEATS HIGH RISK",-118.52333,34.257971
"149","FA0250335",94.1111111111111,"5895 KANAN RD","AGOURA HILLS","FA0250335","SUSHI AND WASABI","RESTAURANT (31-60) SEATS HIGH RISK",-118.75625,34.157454
